num,fire,CFI1,CFI2,Fire.type,ROS,SFC,SFC.CLS,SFC.LF,CFC,Fire.intensity,Date,MC.SA,MC.SA_season,MC.SA_dens,MC.SA_stand,FSG1,FSG2,FMC,SH,ws,FFMC,ISI,DMC,DC,BUI,FWI,ExpProject,MC.FFMC,Site,T,RH,EFFM,Plot.sz,Plot.lg,Ig.time,Ig.type,Site.Lat,Site.Long,Site.elev,Grass.Cure
39,SHARPSAND EXP FIRE #11A ONT,1,NA,AC,29.3,1.52,2,0.2939451,1.4,25667,1976-07-06,7.877204777,2,2,4,4.36,NA,111.7728,8.8,13,93.3,13.2,43,222,58,29,Sharpsand IM (JP),7.417801047,10,29,35,8,4000,100,NA,L,46.79,-83.32,368,NA
40,SHARPSAND EXP FIRE #11B ONT,1,NA,AC,49.4,1.52,2,0.2939451,1.4,43274,1976-07-06,7.877204777,2,2,4,4.36,NA,111.7728,8.8,21,93.3,19.7,43,222,58,38,Sharpsand IM (JP),7.417801047,10,29,35,8,4000,100,NA,L,46.79,-83.32,368,NA
41,SHARPSAND EXP FIRE #12 ONT,1,NA,AC,20.2,1.96,2,0.3536834,1.04,18180,1976-07-09,12.4151952,2,3,4,4.2,NA,114.4572,8.4,14,89.7,8.3,50,245,67,23,Sharpsand IM (JP),11.14852547,10,25,40,9,4000,100,NA,L,46.79,-83.32,368,NA
42,SHARPSAND EXP FIRE #13 ONT,1,NA,AC,16.2,2.41,3,0.3654093,1.03,16718,1976-07-09,12.4151952,2,3,4,4.24,NA,114.4572,8.4,15,89.7,8.7,50,245,67,23,Sharpsand IM (JP),11.14852547,10,25,40,9,4000,100,NA,L,46.79,-83.32,368,NA
43,SHARPSAND EXP FIRE #14 ONT,1,NA,AC,27.3,2.25,3,0.3004919,1.11,27518,1976-07-13,12.16002417,2,3,4,4.13,NA,117.23,8.5,16,89.8,9.4,52,272,70,25,Sharpsand IM (JP),11.04246484,10,22,36,8,4000,100,NA,L,46.79,-83.32,368,NA
44,SHARPSAND EXP FIRE #17 ONT,1,NA,PC,7.9,1.71,2,0.4693639,0.46,5143,1981-07-13,12.35946812,2,3,4,4.72,NA,116.6232,9,10,89.7,6.8,51,187,61,19,Sharpsand IM (JP),11.14852547,10,27,42,9,4000,100,NA,L,46.79,-83.32,368,NA
45,SHARPSAND EXP FIRE #18 ONT,0,NA,S,0.7,1.47,2,0.171864,0,309,1981-07-15,12.05525632,2,3,4,4.94,NA,117.7792,9.3,7,89.7,5.8,57,203,67,18,Sharpsand IM (JP),11.14852547,10,25,46,10,4000,100,NA,L,46.79,-83.32,368,NA
46,SHARPSAND-SEMIM21 03/91,1,NA,AC,49.4,1.92,3,0.1776938,1.106,45200,1991-06-19,7.29732838,2,2,4,5.3,NA,92.56,12.8,19,93.4,17.8,57,231,70,39,Sharpsand SM (JP),7.316677567,10,29.4,26,7,50000,224,NA,L,46.79,-83.32,368,NA
47,PNFI RP EXP FIRE (R1),1,NA,AC,10.7,1.49,2,0,1.5,11877,1962-06-08,7.857661524,1.5,3,4,6,NA,92,12,14.9,92.2,12.5,64,190,70,31,PNFI (RP),8.538958471,6,NA,NA,10,523,23,NA,L,46,-77.45,156,NA
48,PNFI RP EXP FIRE (R3),0,NA,S,6.1,1.05,2,0,NA,1921,1963-06-25,8.071740577,2,3,4,7,NA,93,12,13,92.9,12.4,48,240,64,29,PNFI (RP),7.823622047,6,NA,NA,9,523,23,NA,L,46,-77.45,156,NA
49,PNFI RP EXP FIRE (R4),0,NA,S,1.5,0.98,1,0,0,441,1963-07-23,11.02331551,2,3,4,7,NA,101,12,11,91.1,8.9,39,362,61,23,PNFI (RP),9.676494024,6,NA,NA,13,523,23,NA,L,46,-77.45,156,NA
50,PNFI RP EXP FIRE (R5),0,NA,S,2,1.46,2,0,0,876,1963-08-27,17.15041689,2,3,4,7,NA,108,12,6,88.5,4.8,21,400,38,11,PNFI (RP),12.43243243,6,NA,NA,9,523,23,NA,L,46,-77.45,156,NA
51,PNFI RP EXP FIRE (C4),1,NA,AC,16.8,1.91,2,0,1.75,18446,1966-07-14,9.635705008,2,3,4,8,NA,98,15,23,90.8,15,89,352,109,43,PNFI (RP),9.989620758,6,NA,32,12,1859,61,NA,L,46,-77.45,156,NA
52,PNFI RP EXP FIRE (C6),1,NA,AC,27.4,1.32,2,0,1.75,25235,1967-05-31,8.297158472,1,3,4,8,NA,91,15,19.2,91.9,14.8,41,86,41,27,PNFI (RP),8.847556143,6,NA,25,12,1859,61,NA,L,46,-77.45,156,NA
53,BIG FISH LK PROJECT EXP FIRE P12,1,NA,AC,18.5,1.73,2,0,0.69,13431,1985-07-11,12.09040231,2,1,5,1.29,NA,91.8229,3.1,14,88.9,7.4,22,251,36,15,Bigfish Lk & Other (BS),12.00215633,1,20.5,35,8,NA,NA,NA,L,59.2,-116,835,NA
54,BIG FISH LK PROJECT EXP FIRE P01 A,1,NA,AC,14.3,1.86,2,0,1.19,13085,1985-07-12,13.57946693,2,1,5,0.36,NA,92.56,3.1,12,88,5.9,16,224,27,11,Bigfish Lk & Other (BS),12.97355932,1,18.5,36,9,NA,NA,NA,L,59.2,-116,835,NA
55,BIG FISH LK PROJECT EXP FIRE P09 A,1,NA,AC,30,0.78,1,0,0.94,15480,1985-07-20,16.81281572,2,1,5,1.54,NA,99.8176,3.4,10,84.5,3.2,15,260,26,6,Bigfish Lk & Other (BS),16.86666667,1,21.5,38,8,NA,NA,NA,L,59.2,-116,835,NA
56,BIG FISH LK PROJECT EXP FIRE P11,1,NA,AC,17.5,2.34,3,0,0.69,15907,1985-08-10,13.22649897,2,1,5,1.2,NA,119.0812,2.9,14,88.4,6.9,16,292,28,12,Bigfish Lk & Other (BS),12.54036511,1,19,38,9,NA,NA,NA,L,59.2,-116,835,NA
