"","num","fire","CFI1","Fire.type","ROS","SFC","SFC.CLS","SFC.LF","CFC","Fire.intensity","Date","MC.SA","MC.SA_season","MC.SA_dens","MC.SA_stand","FSG1","FSG2","FMC","SH","ws","FFMC","ISI","DMC","DC","BUI","FWI","ExpProject","MC.FFMC","Site","T","RH","Grass.Cure","Plot.Wd","isi.m","FT","CF"
"32",91,"DARWIN LAKE #2",0,"S",0.9,2.39,3,0,0,645,1974-08-02,10.15801388,2,1,4,6.21,NA,117.7792,13.7,8.5,90.3,6.9,28,214,42,14,"Darwin Lk (JP)",10.51428571,2,27,39,NA,100,7.20942353660214,"Con",NA
"33",92,"DARWIN LAKE #3",0,"S",1,1.99,2,0,0,600,1974-07-24,14.49776698,2,2,4,4.75,NA,110.7628,10.25,14.8,89,7.8,18,151,28,15,"Darwin Lk (JP)",11.89494949,2,24.5,45,NA,100,5.56330873171363,"Con",NA
"34",93,"PNFI RED AND WHITE PINE B1P3",0,"S",0.5,2.54,3,0,0,381,1960-08-11,8.694362967,2,1,4,7.36,NA,120,14.6,12,90.9,8.9,46,342,69,24,"PNFI (WRP)",9.885106383,6,NA,38,NA,31,10.5075428225245,"Con",NA
"35",94,"PNFI RED AND WHITE PINE B1P4",0,"S",1.6,3.07,3,0,0,1474,1960-08-19,6.870682714,2,1,4,7.36,NA,120,14.6,8.4,92.8,8.7,65,404,93,28,"PNFI (WRP)",7.925410374,6,NA,30,NA,30,11.2689087198914,"Con",NA
"36",95,"PNFI RED AND WHITE PINE B2P3",0,"S",0.5,1.93,2,0,0,290,1960-08-10,11.56971276,2,2,4,12.95,NA,120,25,6.2,89.6,5.5,42,334,64,15,"PNFI (WRP)",11.25472837,6,NA,38,NA,31,5.3030493968305,"Con",NA
"37",96,"PNFI RED AND WHITE PINE B2P4",0,"S",0.9,2.34,3,0,0,632,1960-08-19,7.62827429,2,2,4,12.95,NA,120,25,8.4,92.8,8.7,65,404,93,28,"PNFI (WRP)",7.925410374,6,NA,30,NA,30,10.1499032283275,"Con",NA
"38",97,"SHARPSAND-SEMIM14",0,"S",2.1,2.18,3,0.1776938,0.016,1385,1988-05-25,11.39693262,1,3,4,5.3,NA,85.3024,12.8,10,88.9,6,33.7,110,38.1,13.2,"Sharpsand SM (JP)",12.00215633,10,NA,NA,NA,223,6.57337565004742,"Con",NA
"39",98,"SHARPSAND-SEMIM15",0,"S",2.1,2.6,3,0.1776938,0.016,1650,1988-06-02,11.74895231,1.5,3,4,5.3,NA,85.3024,12.8,9,89.5,6.3,42.4,153,50.1,15.9,"Sharpsand SM (JP)",11.36107383,10,NA,NA,NA,223,5.96129861302648,"Con",NA
"40",103,"SHARPSAND-SEMIM20",0,"S",0.8,1.39,2,0.1776938,0.016,336,1991-06-13,11.48779764,1.5,3,4,5.3,NA,88.7044,12.8,10,88.6,5.7,70.2,205,75.6,18.5,"Sharpsand SM (JP)",12.32464551,10,NA,NA,NA,223,6.49340967813307,"Con",NA
"41",104,"PNFI RW EXP FIRE #RW2A ONT",0,"S",0.7,0.95,1,0,0,200,1963-06-26,9.980098284,2,2,4,13.26,NA,100.5,25,13,90.7,9,52,248,69,24,"PNFI (WRP)",10.0942743,6,NA,NA,NA,NA,9.26646261599088,"Con",NA
"42",105,"PNFI RW EXP FIRE #RW3 ONT",0,"S",1.3,2,2,0,0,780,1963-07-02,11.74829906,2,2,4,13.26,NA,103,25,23,87.8,9.8,76,299,93,30,"PNFI (WRP)",13.1910387,6,NA,NA,NA,NA,12.071364003181,"Con",NA
"43",106,"PNFI RW EXP FIRE #RW4 ONT",0,"S",1.6,1.22,2,0,0,586,1963-07-25,9.684655943,2,2,4,13.26,NA,112.5,25,11,91.2,9,48,380,73,25,"PNFI (WRP)",9.572395488,6,NA,NA,NA,NA,8.72304106938151,"Con",NA
"44",107,"PNFI RW EXP FIRE #RW5B ONT",0,"S",0.4,2.87,3,0,0,344,1964-07-27,9.472369861,2,2,4,13.26,NA,113.5,25,5,90.4,7.4,76,443,107,27,"PNFI (WRP)",10.40907272,6,NA,NA,NA,NA,6.63702735784062,"Con",NA
"45",108,"BIG FISH LK PROJECT EXP FIRE P06 A",0,"S",0.5,1.1,2,0,0,165,1985-07-14,19.79972783,2,1,5,0.71,NA,94.15,3.1,13,80,2.3,20,238,32,5,"Bigfish Lk & Other (BS)",22.15914,1,NA,NA,NA,NA,2.73479514851622,"Con",NA
"46",111,"PNFI RP EXP FIRE (C1)",0,"S",1,1.03,2,0,0,309,1966-09-01,15.56435,2,3,4,8,NA,108,15,5,88.6,4.5,32,386,53,13,"PNFI (RP)",12.325,6,NA,NA,NA,30,2.96740530043529,"Con",NA
"47",112,"PNFI RP EXP FIRE (C7)",0,"S",3,0.55,1,0,0,495,1971-06-01,8.536604,1.5,3,4,9,NA,91,16,10,92.6,10.1,35,122,41,20,"PNFI (RP)",8.129,6,NA,NA,NA,30,9.70844910170269,"Con",NA
"48",113,"PNFI RP EXP FIRE (C8)",0,"S",1.1,2.14,3,0,0,706,1971-07-12,10.92489,2,3,4,9,NA,98,16,10,90.7,7.7,51,259,68,22,"PNFI (RP)",10.094,6,NA,NA,NA,30,7.00620825228597,"Con",NA
"49",114,"L DEWDROP/AH JOHNSON EXP FIRE 1",0,"S",2.859375,0.67,1,0,0,NA,1978-05-05,9.531,1,1,2,NA,NA,NA,NA,10.4,82,2.41,29,102,34,6,"Lower Dewdrop (PPDF)",19.77,14,15,25,66,NA,8.642977623934,"PPDF",0.32
"50",115,"L DEWDROP/AH JOHNSON EXP FIRE 2",0,"S",4.015,0.47,1,0,0,NA,1978-05-18,8.747,1,1,2,NA,NA,NA,NA,7.4,84,2.67,30,152,40,7,"Lower Dewdrop (PPDF)",17.44,14,20.6,23,60,NA,8.27358500812532,"PPDF",0.2
"51",116,"L DEWDROP/AH JOHNSON EXP FIRE 3",0,"S",6.93478285744734,0.83,1,0,0,NA,1979-06-06,4.607,1.5,1,2,NA,NA,NA,NA,7.4,92.5,8.88,94,273,101,29,"Lower Dewdrop (PPDF)",8.23,14,24,27,56,NA,14.6568414718124,"PPDF",0.147236907952691
"52",117,"L DEWDROP/AH JOHNSON EXP FIRE 4",0,"S",4.63571428571429,1.39,2,0,0,NA,1978-06-21,5.726,2,1,2,NA,NA,NA,NA,19.2,91.5,13.97,76,356,99,39,"Lower Dewdrop (PPDF)",9.26,14,25.5,35,64,NA,22.7499435894862,"PPDF",0.28
"53",118,"L DEWDROP/AH JOHNSON EXP FIRE 5",0,"S",3.51424454213565,1.2,2,0,0,NA,1978-07-05,6.92,2,1,2,NA,NA,NA,NA,14.8,89,7.83,106,465,135,30,"Lower Dewdrop (PPDF)",11.89,14,24,44,58,NA,15.4518687947318,"PPDF",0.166990271201906
"54",119,"L DEWDROP/AH JOHNSON EXP FIRE 6",0,"S",4.8,0.67,1,0,0,NA,1978-08-01,6.956,2,1,2,NA,NA,NA,NA,19.2,89,9.77,102,649,146,36,"Lower Dewdrop (PPDF)",11.89,14,26.7,33,59,NA,19.1916007520509,"PPDF",0.18
"55",120,"L DEWDROP/AH JOHNSON EXP FIRE 8",0,"S",2.1,0.656666666666667,NA,0,0,NA,1980-06-12,8.3,1.5,1,2,NA,NA,NA,NA,16.3,89,8.44,24,365,40,17,"Lower Dewdrop (PPDF)",11.89,14,NA,NA,NA,NA,13.7769846731629,"PPDF",NA
"56",121,"L DEWDROP/AH JOHNSON EXP FIRE 9",0,"S",3.75,2.01,3,0,0,NA,1979-09-17,9.739,3,1,2,NA,NA,NA,NA,9.6,89,6.03,56,794,96,22,"Lower Dewdrop (PPDF)",11.89,14,24,45,80,NA,8.06871973581005,"PPDF",0.6
"57",201,"RW  SANDO EXP FIRE #1 ASPEN MINN",0,"S",1.8,0.25,NA,NA,0,150,1968-04-30,10.22767287,1,1,1,NA,NA,NA,NA,15,91.6,11.5,20,26,19,15,"Sando USA (D1)",NA,NA,NA,NA,NA,NA,9.90891480292926,"Decid",NA
"58",202,"RW  SANDO EXP FIRE #2 ASPEN WISC",0,"S",8.8,0.25,NA,NA,0,675,1968-05-02,8.388590723,1,1,1,NA,NA,NA,NA,28,93.5,28.7,29,39,29,35,"Sando USA (D1)",NA,NA,NA,NA,NA,NA,24.541680272511,"Decid",NA
"59",203,"RW  SANDO EXP FIRE #3 ASPEN WISC",0,"S",7,0.25,NA,NA,0,525,1970-04-27,9.194150919,1,1,1,NA,NA,NA,NA,28,92.5,25.2,26,47,26,31,"Sando USA (D1)",NA,NA,NA,NA,NA,NA,21.9714074066401,"Decid",NA
"60",204,"RW  SANDO EXP FIRE #4 ASPEN MINN",0,"S",1.8,0.25,NA,NA,0,150,1970-05-06,10.81945788,1,1,1,NA,NA,NA,NA,28,90.6,19.2,20,40,20,23,"Sando USA (D1)",NA,NA,NA,NA,NA,NA,17.6035254599745,"Decid",NA
"61",205,"RW  SANDO EXP FIRE #5 ASPEN MINN",0,"S",1.5,0.25,NA,NA,0,150,1970-05-08,11.64113159,1,1,1,NA,NA,NA,NA,18,88.4,8.4,24,50,24,14,"Sando USA (D1)",NA,NA,NA,NA,NA,NA,9.51891656060228,"Decid",NA
"62",206,"RW  SANDO EXP FIRE #6 ASPEN MINN",0,"S",2.1,0.25,NA,NA,0,150,1970-10-19,24.27417248,3,1,1,NA,NA,NA,NA,28,87.6,12.4,8,410,15,15,"Sando USA (D1)",NA,NA,NA,NA,NA,NA,3.95541768233129,"Decid",NA
"63",207,"DQ  HONDO EXP FIRE #C5 ASPEN ALTA",0,"S",0.3,0.18,NA,NA,0,0,1972-05-13,12.46464191,1,1,1,NA,NA,NA,NA,2.7,87,3.2,23,45,23,6,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,3.94398248432114,"Decid",NA
"64",208,"DQ  HONDO EXP FIRE #A6 ASPEN ALTA",0,"S",0.5,0.12,NA,NA,0,0,1972-05-14,8.914400022,1,1,1,NA,NA,NA,NA,10.1,92.4,10,31,57,31,18,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,9.26398453373162,"Decid",NA
